Tasks_number,Proc_number,Time_work
390,18,34.906
410,18,34.8394
430,18,36.5149
450,18,37.4104
470,18,35.8569
490,18,37.3258
10,19,0.69723
30,19,2.0751
50,19,3.59157
70,19,6.3057
90,19,6.6959
110,19,9.393
130,19,9.32378
150,19,10.8309
170,19,12.225
190,19,13.8532
210,19,15.4124
230,19,16.8812
250,19,21.4218
270,19,20.1325
290,19,21.6033
310,19,23.0727
330,19,25.0676
350,19,26.0991
370,19,28.2972
390,19,29.2783
410,19,31.8291
430,19,33.6554
450,19,36.1654
470,19,37.1569
490,19,37.544
